id,name,supertype,types,price_date,normal_market,normal_low,normal_high,reverse_market,reverse_low,reverse_high,holo_market,holo_low,holo_high,month
swsh1-1,Celebi V,Pokémon,Grass,2025/02/22,,,,,,,0.83,0.49,7.99,feb
swsh1-2,Roselia,Pokémon,Grass,2025/02/22,0.07,0.01,1.31,0.2,0.05,2.0,,,,feb
swsh1-3,Roselia,Pokémon,Grass,2025/02/22,0.05,0.01,1.31,0.2,0.05,1.14,,,,feb
swsh1-4,Roserade,Pokémon,Grass,2025/02/22,0.18,0.03,2.0,0.49,0.24,4.99,,,,feb
swsh1-5,Cottonee,Pokémon,Grass,2025/02/22,0.06,0.01,5.01,0.2,0.06,2.0,,,,feb
swsh1-6,Whimsicott,Pokémon,Grass,2025/02/22,0.18,0.06,1.19,2.36,0.18,3.98,,,,feb
swsh1-7,Maractus,Pokémon,Grass,2025/02/22,0.06,0.01,5.01,0.16,0.09,2.0,,,,feb
swsh1-8,Durant,Pokémon,Grass,2025/02/22,0.11,0.02,2.0,0.34,0.16,2.0,,,,feb
swsh1-9,Dhelmise V,Pokémon,Grass,2025/02/22,,,,,,,0.56,0.26,89.0,feb
swsh1-10,Grookey,Pokémon,Grass,2025/02/22,0.05,0.01,1.33,0.19,0.08,2.0,,,,feb
swsh1-11,Grookey,Pokémon,Grass,2025/02/22,0.08,0.01,1.31,0.18,0.07,2.0,,,,feb
swsh1-12,Thwackey,Pokémon,Grass,2025/02/22,0.08,0.01,1.22,0.61,0.3,4.24,,,,feb
swsh1-13,Thwackey,Pokémon,Grass,2025/02/22,0.06,0.01,1.0,0.49,0.1,2.0,,,,feb
swsh1-14,Rillaboom,Pokémon,Grass,2025/02/22,,,,0.35,0.2,2.0,0.2,0.08,2.0,feb
swsh1-15,Rillaboom,Pokémon,Grass,2025/02/22,0.3,0.14,2.0,0.55,0.25,2.0,,,,feb
swsh1-16,Blipbug,Pokémon,Grass,2025/02/22,0.04,0.01,1.0,0.14,0.04,2.0,,,,feb
swsh1-17,Blipbug,Pokémon,Grass,2025/02/22,0.07,0.01,1.0,0.14,0.06,2.0,,,,feb
swsh1-18,Dottler,Pokémon,Grass,2025/02/22,0.08,0.01,1.27,0.29,0.08,1.0,,,,feb
swsh1-19,Orbeetle,Pokémon,Grass,2025/02/22,0.19,0.07,2.0,0.39,0.14,2.0,,,,feb
swsh1-20,Gossifleur,Pokémon,Grass,2025/02/22,0.13,0.01,1.35,0.26,0.12,2.0,,,,feb
swsh1-21,Eldegoss,Pokémon,Grass,2025/02/22,0.08,0.01,1.18,0.37,0.19,0.99,,,,feb
swsh1-22,Vulpix,Pokémon,Fire,2025/02/22,0.11,0.01,1.28,0.27,0.11,2.0,,,,feb
swsh1-23,Ninetales,Pokémon,Fire,2025/02/22,0.25,0.05,11.5,0.63,0.1,1.1,,,,feb
swsh1-24,Torkoal V,Pokémon,Fire,2025/02/22,,,,,,,0.71,0.24,89.0,feb
swsh1-25,Victini V,Pokémon,Fire,2025/02/22,,,,,,,0.63,0.4,89.0,feb
swsh1-26,Heatmor,Pokémon,Fire,2025/02/22,0.05,0.01,1.29,0.29,0.19,2.0,,,,feb
swsh1-27,Salandit,Pokémon,Fire,2025/02/22,0.04,0.01,5.01,0.17,0.09,2.0,,,,feb
swsh1-28,Salazzle,Pokémon,Fire,2025/02/22,0.11,0.01,1.3,0.41,0.2,2.0,,,,feb
swsh1-29,Turtonator,Pokémon,Fire,2025/02/22,0.14,0.05,2.0,0.42,0.24,2.0,,,,feb
swsh1-30,Scorbunny,Pokémon,Fire,2025/02/22,0.08,0.01,1.31,0.2,0.1,2.0,,,,feb
swsh1-31,Scorbunny,Pokémon,Fire,2025/02/22,0.08,0.01,5.01,0.25,0.09,1.99,,,,feb
swsh1-32,Raboot,Pokémon,Fire,2025/02/22,0.15,0.01,11.5,0.44,0.35,4.49,,,,feb
swsh1-33,Raboot,Pokémon,Fire,2025/02/22,0.11,0.03,1.22,0.6,0.25,1.64,,,,feb
swsh1-34,Cinderace,Pokémon,Fire,2025/02/22,,,,0.43,0.24,2.0,0.34,0.07,3.22,feb
swsh1-35,Cinderace,Pokémon,Fire,2025/02/22,,,,0.53,0.3,2.0,0.25,0.14,2.0,feb
swsh1-36,Cinderace,Pokémon,Fire,2025/02/22,0.33,0.09,8.99,0.37,0.17,6.78,,,,feb
swsh1-37,Sizzlipede,Pokémon,Fire,2025/02/22,0.06,0.01,1.33,0.2,0.09,2.0,,,,feb
swsh1-38,Sizzlipede,Pokémon,Fire,2025/02/22,0.08,0.01,1.32,0.2,0.06,2.0,,,,feb
swsh1-39,Centiskorch,Pokémon,Fire,2025/02/22,0.23,0.1,2.0,0.54,0.23,1.62,,,,feb
swsh1-40,Shellder,Pokémon,Water,2025/02/22,0.06,0.01,5.01,0.18,0.07,2.0,,,,feb
swsh1-41,Cloyster,Pokémon,Water,2025/02/22,0.12,0.03,2.0,0.45,0.1,1.6,,,,feb
swsh1-42,Krabby,Pokémon,Water,2025/02/22,0.07,0.01,1.5,0.2,0.05,2.0,,,,feb
swsh1-43,Krabby,Pokémon,Water,2025/02/22,0.09,0.01,1.31,0.23,0.12,2.0,,,,feb
swsh1-44,Kingler,Pokémon,Water,2025/02/22,0.11,0.01,1.22,0.43,0.25,2.0,,,,feb
swsh1-45,Goldeen,Pokémon,Water,2025/02/22,0.06,0.01,1.49,0.2,0.08,2.0,,,,feb
swsh1-46,Goldeen,Pokémon,Water,2025/02/22,0.09,0.01,1.33,0.2,0.05,2.0,,,,feb
swsh1-47,Seaking,Pokémon,Water,2025/02/22,0.08,0.01,1.31,0.41,0.15,2.49,,,,feb
swsh1-48,Lapras,Pokémon,Water,2025/02/22,0.25,0.05,89.0,0.46,0.25,2.0,,,,feb
swsh1-49,Lapras V,Pokémon,Water,2025/02/22,,,,,,,1.63,0.85,89.0,feb
swsh1-50,Lapras VMAX,Pokémon,Water,2025/02/22,,,,,,,3.09,2.0,10.99,feb
swsh1-51,Qwilfish,Pokémon,Water,2025/02/22,0.12,0.01,1.32,0.31,0.15,2.0,,,,feb
swsh1-52,Mantine,Pokémon,Water,2025/02/22,0.1,0.02,1.0,0.38,0.15,4.99,,,,feb
swsh1-53,Keldeo V,Pokémon,Water,2025/02/22,,,,,,,0.71,0.45,5.99,feb
swsh1-54,Sobble,Pokémon,Water,2025/02/22,0.07,0.01,1.32,0.17,0.01,2.0,,,,feb
swsh1-55,Sobble,Pokémon,Water,2025/02/22,0.09,0.01,11.5,0.21,0.1,2.0,,,,feb
swsh1-56,Drizzile,Pokémon,Water,2025/02/22,0.18,0.05,7.95,0.67,0.2,5.99,,,,feb
swsh1-57,Drizzile,Pokémon,Water,2025/02/22,0.08,0.01,1.0,0.43,0.15,1.01,,,,feb
swsh1-58,Inteleon,Pokémon,Water,2025/02/22,,,,0.62,0.25,5.99,0.42,0.25,9.89,feb
swsh1-59,Inteleon,Pokémon,Water,2025/02/22,0.21,0.1,1.99,0.46,0.24,2.0,,,,feb
swsh1-60,Chewtle,Pokémon,Water,2025/02/22,0.08,0.01,1.57,0.19,0.05,2.0,,,,feb
swsh1-61,Drednaw,Pokémon,Water,2025/02/22,0.09,0.03,2.0,0.4,0.19,9.99,,,,feb
swsh1-62,Cramorant,Pokémon,Water,2025/02/22,0.15,0.03,2.0,0.36,0.16,1.51,,,,feb
swsh1-63,Snom,Pokémon,Water,2025/02/22,0.07,0.01,1.58,0.33,0.1,2.0,,,,feb
swsh1-64,Frosmoth,Pokémon,Water,2025/02/22,,,,0.39,0.08,2.97,0.33,0.1,2.0,feb
swsh1-65,Pikachu,Pokémon,Lightning,2025/02/22,0.25,0.01,89.0,0.53,0.2,3.99,,,,feb
swsh1-66,Raichu,Pokémon,Lightning,2025/02/22,0.34,0.05,2.0,0.47,0.21,4.99,,,,feb
swsh1-67,Chinchou,Pokémon,Lightning,2025/02/22,0.04,0.01,1.32,0.18,0.08,2.0,,,,feb
swsh1-68,Chinchou,Pokémon,Lightning,2025/02/22,0.07,0.01,1.33,0.18,0.06,2.0,,,,feb
swsh1-69,Lanturn,Pokémon,Lightning,2025/02/22,0.18,0.05,2.0,0.4,0.16,4.99,,,,feb
swsh1-70,Joltik,Pokémon,Lightning,2025/02/22,0.09,0.01,5.01,0.24,0.07,2.0,,,,feb
swsh1-71,Galvantula,Pokémon,Lightning,2025/02/22,0.1,0.01,1.33,0.33,0.2,1.0,,,,feb
swsh1-72,Tapu Koko V,Pokémon,Lightning,2025/02/22,,,,,,,0.73,0.43,89.0,feb
swsh1-73,Yamper,Pokémon,Lightning,2025/02/22,0.08,0.01,5.01,0.22,0.11,5.16,,,,feb
swsh1-74,Yamper,Pokémon,Lightning,2025/02/22,0.08,0.01,1.0,0.21,0.01,2.0,,,,feb
swsh1-75,Boltund,Pokémon,Lightning,2025/02/22,,,,0.34,0.25,5.48,0.28,0.09,2.5,feb
swsh1-76,Boltund,Pokémon,Lightning,2025/02/22,,,,0.33,0.15,2.0,0.27,0.08,2.5,feb
swsh1-77,Pincurchin,Pokémon,Lightning,2025/02/22,0.1,0.01,1.31,0.16,0.06,2.0,,,,feb
swsh1-78,Morpeko,Pokémon,Lightning,2025/02/22,0.23,0.09,4.18,0.47,0.19,1.43,,,,feb
swsh1-79,Morpeko V,Pokémon,Lightning,2025/02/22,,,,,,,0.64,0.25,89.0,feb
swsh1-80,Morpeko VMAX,Pokémon,Lightning,2025/02/22,,,,,,,1.75,0.99,6.99,feb
swsh1-81,Galarian Ponyta,Pokémon,Psychic,2025/02/22,0.21,0.01,5.03,0.34,0.05,9.99,,,,feb
swsh1-82,Galarian Rapidash,Pokémon,Psychic,2025/02/22,0.62,0.4,4.95,0.96,0.58,2.5,,,,feb
swsh1-83,Gastly,Pokémon,Psychic,2025/02/22,0.1,0.01,5.01,0.31,0.15,2.0,,,,feb
swsh1-84,Haunter,Pokémon,Psychic,2025/02/22,0.13,0.03,5.05,0.73,0.44,2.99,,,,feb
swsh1-85,Gengar,Pokémon,Psychic,2025/02/22,,,,1.14,1.0,13.99,1.09,0.35,25.0,feb
swsh1-86,Wobbuffet V,Pokémon,Psychic,2025/02/22,,,,,,,0.87,0.43,4.99,feb
swsh1-87,Munna,Pokémon,Psychic,2025/02/22,0.08,0.01,1.5,0.29,0.09,2.0,,,,feb
swsh1-88,Musharna,Pokémon,Psychic,2025/02/22,0.16,0.05,2.0,0.31,0.14,2.0,,,,feb
swsh1-89,Sinistea,Pokémon,Psychic,2025/02/22,0.08,0.01,11.5,0.19,0.07,2.0,,,,feb
swsh1-90,Polteageist,Pokémon,Psychic,2025/02/22,0.15,0.05,2.0,0.41,0.15,1.48,,,,feb
swsh1-91,Indeedee V,Pokémon,Psychic,2025/02/22,,,,,,,0.65,0.24,89.0,feb
swsh1-92,Diglett,Pokémon,Fighting,2025/02/22,0.05,0.01,1.5,0.18,0.05,1.4,,,,feb
swsh1-93,Dugtrio,Pokémon,Fighting,2025/02/22,0.1,0.01,1.31,0.37,0.18,1.04,,,,feb
swsh1-94,Hitmonlee,Pokémon,Fighting,2025/02/22,0.21,0.04,1.22,0.43,0.15,2.0,,,,feb
swsh1-95,Hitmonchan,Pokémon,Fighting,2025/02/22,0.12,0.02,1.37,0.58,0.15,2.0,,,,feb
swsh1-96,Rhyhorn,Pokémon,Fighting,2025/02/22,0.04,0.01,2.06,0.23,0.1,2.0,,,,feb
swsh1-97,Rhyhorn,Pokémon,Fighting,2025/02/22,0.04,0.01,1.31,0.19,0.01,1.31,,,,feb
swsh1-98,Rhydon,Pokémon,Fighting,2025/02/22,0.07,0.02,1.22,0.43,0.15,1.0,,,,feb
swsh1-99,Rhyperior,Pokémon,Fighting,2025/02/22,,,,0.43,0.24,1.5,0.31,0.07,89.0,feb
swsh1-100,Sudowoodo,Pokémon,Fighting,2025/02/22,0.08,0.01,11.5,0.47,0.15,4.99,,,,feb
swsh1-101,Baltoy,Pokémon,Fighting,2025/02/22,0.07,0.01,1.33,0.17,0.04,1.3,,,,feb
swsh1-102,Baltoy,Pokémon,Fighting,2025/02/22,0.04,0.01,5.0,0.17,0.04,2.0,,,,feb
swsh1-103,Claydol,Pokémon,Fighting,2025/02/22,0.19,0.07,2.0,0.41,0.1,2.0,,,,feb
swsh1-104,Regirock V,Pokémon,Fighting,2025/02/22,,,,,,,0.88,0.45,4.99,feb
swsh1-105,Mudbray,Pokémon,Fighting,2025/02/22,0.07,0.01,1.35,0.26,0.09,1.4,,,,feb
swsh1-106,Mudsdale,Pokémon,Fighting,2025/02/22,0.18,0.06,5.06,0.39,0.15,2.0,,,,feb
swsh1-107,Silicobra,Pokémon,Fighting,2025/02/22,0.06,0.01,5.01,0.19,0.07,2.12,,,,feb
swsh1-108,Silicobra,Pokémon,Fighting,2025/02/22,0.06,0.01,1.27,0.18,0.05,2.0,,,,feb
swsh1-109,Sandaconda,Pokémon,Fighting,2025/02/22,0.16,0.06,2.0,0.34,0.16,5.23,,,,feb
swsh1-110,Sandaconda,Pokémon,Fighting,2025/02/22,,,,0.32,0.15,1.0,0.22,0.03,5.0,feb
swsh1-111,Clobbopus,Pokémon,Fighting,2025/02/22,0.05,0.01,1.31,0.18,0.08,2.0,,,,feb
swsh1-112,Clobbopus,Pokémon,Fighting,2025/02/22,0.05,0.01,1.33,0.2,0.08,2.0,,,,feb
swsh1-113,Grapploct,Pokémon,Fighting,2025/02/22,0.15,0.08,2.0,0.35,0.23,1.54,,,,feb
swsh1-114,Stonjourner,Pokémon,Fighting,2025/02/22,0.14,0.05,11.5,0.28,0.2,1.5,,,,feb
swsh1-115,Stonjourner V,Pokémon,Fighting,2025/02/22,,,,,,,0.56,0.24,89.0,feb
swsh1-116,Stonjourner VMAX,Pokémon,Fighting,2025/02/22,,,,,,,1.36,0.5,89.0,feb
swsh1-117,Galarian Zigzagoon,Pokémon,Darkness,2025/02/22,0.13,0.01,11.5,0.26,0.1,2.75,,,,feb
swsh1-118,Galarian Linoone,Pokémon,Darkness,2025/02/22,0.1,0.02,1.2,0.53,0.33,1.99,,,,feb
swsh1-119,Galarian Obstagoon,Pokémon,Darkness,2025/02/22,,,,0.37,0.25,4.99,0.29,0.08,1.5,feb
swsh1-120,Sableye V,Pokémon,Darkness,2025/02/22,,,,,,,0.91,0.43,4.99,feb
swsh1-121,Skorupi,Pokémon,Darkness,2025/02/22,0.07,0.01,1.35,0.26,0.1,1.42,,,,feb
swsh1-122,Drapion,Pokémon,Darkness,2025/02/22,0.24,0.07,2.0,0.47,0.16,2.0,,,,feb
swsh1-123,Croagunk,Pokémon,Darkness,2025/02/22,0.06,0.01,1.22,0.2,0.08,2.0,,,,feb
swsh1-124,Toxicroak,Pokémon,Darkness,2025/02/22,,,,0.83,0.25,3.99,0.54,0.25,5.95,feb
swsh1-125,Nickit,Pokémon,Darkness,2025/02/22,0.07,0.01,1.31,0.17,0.03,1.38,,,,feb
swsh1-126,Thievul,Pokémon,Darkness,2025/02/22,0.2,0.09,5.1,0.43,0.17,2.0,,,,feb
swsh1-127,Galarian Meowth,Pokémon,Metal,2025/02/22,0.05,0.01,1.31,0.2,0.1,2.0,,,,feb
swsh1-128,Galarian Perrserker,Pokémon,Metal,2025/02/22,,,,0.36,0.25,1.55,0.37,0.14,2.0,feb
swsh1-129,Mawile,Pokémon,Metal,2025/02/22,0.06,0.01,5.01,0.3,0.11,2.0,,,,feb
swsh1-130,Ferroseed,Pokémon,Metal,2025/02/22,0.13,0.01,1.31,0.22,0.09,2.0,,,,feb
swsh1-131,Ferrothorn,Pokémon,Metal,2025/02/22,0.04,0.01,1.27,0.32,0.2,1.04,,,,feb
swsh1-132,Galarian Stunfisk,Pokémon,Metal,2025/02/22,0.09,0.01,5.01,0.38,0.23,1.0,,,,feb
swsh1-133,Pawniard,Pokémon,Metal,2025/02/22,0.06,0.01,1.5,0.17,0.07,2.0,,,,feb
swsh1-134,Bisharp,Pokémon,Metal,2025/02/22,0.07,0.01,1.34,0.43,0.17,1.99,,,,feb
swsh1-135,Corviknight,Pokémon,Metal,2025/02/22,0.19,0.06,2.0,0.41,0.28,2.28,,,,feb
swsh1-136,Cufant,Pokémon,Metal,2025/02/22,0.08,0.01,1.5,0.17,0.1,1.27,,,,feb
swsh1-137,Copperajah,Pokémon,Metal,2025/02/22,,,,0.43,0.23,1.54,0.31,0.13,2.0,feb
swsh1-138,Zacian V,Pokémon,Metal,2025/02/22,,,,,,,0.73,0.42,89.0,feb
swsh1-139,Zamazenta V,Pokémon,Metal,2025/02/22,,,,,,,0.68,0.44,9.99,feb
swsh1-140,Snorlax,Pokémon,Colorless,2025/02/22,0.27,0.06,4.99,0.85,0.34,2.0,,,,feb
swsh1-141,Snorlax V,Pokémon,Colorless,2025/02/22,,,,,,,3.7,1.97,2016.0,feb
swsh1-142,Snorlax VMAX,Pokémon,Colorless,2025/02/22,,,,,,,28.38,24.94,179.0,feb
swsh1-143,Hoothoot,Pokémon,Colorless,2025/02/22,0.06,0.01,1.31,0.19,0.09,2.0,,,,feb
swsh1-144,Noctowl,Pokémon,Colorless,2025/02/22,0.14,0.04,2.0,0.34,0.24,2.0,,,,feb
swsh1-145,Minccino,Pokémon,Colorless,2025/02/22,0.1,0.01,1.33,0.21,0.1,2.0,,,,feb
swsh1-146,Minccino,Pokémon,Colorless,2025/02/22,0.09,0.01,1.33,0.22,0.09,2.0,,,,feb
swsh1-147,Cinccino,Pokémon,Colorless,2025/02/22,0.3,0.14,2.34,0.72,0.32,4.95,,,,feb
swsh1-148,Oranguru,Pokémon,Colorless,2025/02/22,,,,0.37,0.24,8.9,0.25,0.14,3.0,feb
swsh1-149,Drampa,Pokémon,Colorless,2025/02/22,0.16,0.05,11.5,0.36,0.15,2.0,,,,feb
swsh1-150,Rookidee,Pokémon,Colorless,2025/02/22,0.08,0.01,1.34,0.19,0.09,1.36,,,,feb
swsh1-151,Corvisquire,Pokémon,Colorless,2025/02/22,0.07,0.01,1.33,0.4,0.15,2.0,,,,feb
swsh1-152,Wooloo,Pokémon,Colorless,2025/02/22,0.07,0.01,1.31,0.19,0.08,2.0,,,,feb
swsh1-153,Wooloo,Pokémon,Colorless,2025/02/22,0.08,0.01,5.01,0.2,0.04,2.0,,,,feb
swsh1-154,Dubwool,Pokémon,Colorless,2025/02/22,0.07,0.01,1.27,0.3,0.15,1.0,,,,feb
swsh1-155,Cramorant V,Pokémon,Colorless,2025/02/22,,,,,,,0.5,0.19,89.0,feb
swsh1-156,Air Balloon,Trainer,,2025/02/22,0.1,0.02,2.0,0.62,0.25,2.99,,,,feb
swsh1-157,Bede,Trainer,,2025/02/22,0.09,0.01,11.5,0.29,0.02,2.0,,,,feb
swsh1-158,Big Charm,Trainer,,2025/02/22,0.06,0.01,1.5,0.58,0.24,2.94,,,,feb
swsh1-159,Crushing Hammer,Trainer,,2025/02/22,0.06,0.01,11.5,0.33,0.08,2.99,,,,feb
swsh1-160,Energy Retrieval,Trainer,,2025/02/22,0.1,0.02,1.3,0.36,0.13,5.99,,,,feb
swsh1-161,Energy Search,Trainer,,2025/02/22,0.09,0.04,2.0,0.47,0.11,2.0,,,,feb
swsh1-162,Energy Switch,Trainer,,2025/02/22,0.11,0.02,1.3,0.34,0.18,2.0,,,,feb
swsh1-163,Evolution Incense,Trainer,,2025/02/22,0.21,0.07,11.5,2.65,2.0,10.99,,,,feb
swsh1-164,Great Ball,Trainer,,2025/02/22,0.04,0.01,5.01,0.43,0.21,1.19,,,,feb
swsh1-165,Hop,Trainer,,2025/02/22,0.07,0.01,89.0,0.33,0.15,2.0,,,,feb
swsh1-166,Hyper Potion,Trainer,,2025/02/22,0.13,0.01,11.5,0.41,0.22,1.49,,,,feb
swsh1-167,Lucky Egg,Trainer,,2025/02/22,0.08,0.01,1.29,0.17,0.06,2.0,,,,feb
swsh1-168,Lum Berry,Trainer,,2025/02/22,0.07,0.01,1.31,0.23,0.1,2.0,,,,feb
swsh1-169,Marnie,Trainer,,2025/02/22,,,,1.15,0.59,3.99,0.58,0.3,3.99,feb
swsh1-170,Metal Saucer,Trainer,,2025/02/22,0.13,0.02,1.5,0.28,0.09,2.99,,,,feb
swsh1-171,Ordinary Rod,Trainer,,2025/02/22,0.19,0.07,10.0,0.38,0.17,3.47,,,,feb
swsh1-172,Pal Pad,Trainer,,2025/02/22,0.37,0.18,1.99,0.41,0.15,2.99,,,,feb
swsh1-173,Poké Kid,Trainer,,2025/02/22,0.11,0.02,11.5,0.24,0.1,2.0,,,,feb
swsh1-174,Pokégear 3.0,Trainer,,2025/02/22,1.05,0.45,2.99,1.16,0.42,4.99,,,,feb
